txn_id,timestamp,sender_upi,receiver_upi,amount,payment_type,hour_of_day,day_of_week,device_type,device_id,location,ip_address,is_new_receiver,txn_frequency_1hr,failed_pin_attempts,vpn_used,is_fraud
TXN14F33E479A,2025-12-19 23:48:25,saumyaba@upi,vamakshi@ibl,4590.78,P2P,23,4,iPhone_15,90CEAF7E69F5CF,Jaipur,49.20.105.18,0,4,0,0,0
TXN506BC0484C,2025-12-16 06:38:44,farajsin@paytm,amritaba@upi,8568.4,P2P,6,1,Motorola_Edge_40,153162222E2829,Chennai,49.120.185.35,0,1,0,0,0
TXN64DF67F107,2025-11-25 11:35:26,nehadiva@ibl,quincyva@upi,9162.64,P2P,11,1,Xiaomi_13,1B25D9BD36C97A,Mumbai,49.184.198.34,0,3,0,0,0
TXN36AE0B8A31,2026-01-16 19:05:02,anitakhu@ibl,ijayarav@ibl,514.13,P2P,19,4,Google_Pixel_7,EB8B0C8D8A1CC4,Lucknow,49.23.219.253,0,4,0,0,0
TXNA2E8F00C8F,2026-01-02 19:56:41,advikaat@ibl,aarushma@ybl,7827.72,P2P,19,4,iPhone_15,30F75A479BA6A3,Ahmedabad,49.249.13.113,0,1,0,0,0
TXN5CC054467A,2025-12-16 08:41:54,mitalima@ibl,jasonsha@upi,326.53,Bill,8,1,iPhone_14,5E4C3CC3DC4025,Pune,49.142.122.15,0,2,0,0,0
TXN40DBE51DAE,2025-11-22 06:02:59,jasmitsh@ybl,jasmitpe@oksbi,9004.2,P2P,6,5,Oppo_Reno8,72B39E6C970AE0,Mumbai,49.232.62.169,0,2,1,0,0
TXNF392DF8E4D,2025-10-03 06:00:43,harishko@ibl,avnipras@oksbi,5944.8,QR,6,4,Xiaomi_13,F73D4D336AA569,Pune,49.164.124.188,0,3,0,0,0
TXN5E92A2DA4E,2025-10-14 21:42:33,qushidhi@paytm,eeshabir@ybl,3176.22,P2M,21,1,Google_Pixel_7,EE42DF7A04F450,Bhopal,49.63.85.63,0,2,0,0,0
TXN8BA7D534DA,2025-10-14 10:08:12,ryandas@okicici,ethanset@ybl,9872.04,Bill,10,1,Vivo_V27,3ED60BD7483089,Kolkata,49.221.184.47,0,4,0,0,0
TXN5A3E6F30E5,2026-01-11 14:10:52,watikada@okicici,rachanak@okaxis,3034.67,Recharge,14,6,Google_Pixel_7,D101972264C1A2,Delhi,49.239.179.216,1,3,0,0,0
TXN8E356E947A,2025-11-25 01:59:34,onveerbe@okaxis,aradhana@upi,1.61,P2P,1,1,Emulator,65B5091DA471B2,Spoofed_Location,TOR_Exit_Node,1,22,2,1,1
TXN3E0FA7616E,2025-10-16 12:52:16,chanakya@ybl,neelimas@upi,6302.32,Bill,12,3,Xiaomi_13,B726403CF7B1AC,Hyderabad,49.93.93.144,0,3,0,0,0
TXN037B4AAB58,2025-10-31 23:00:21,vasanana@oksbi,sameshra@ibl,8038.5,P2M,23,4,iPhone_14,DEB6529A414E5B,Bangalore,49.211.208.236,1,3,0,0,0
TXN52D3618585,2025-10-01 15:18:11,urvisahn@ibl,vihaanmu@oksbi,4132.85,Recharge,15,2,Google_Pixel_7,AA11421FFBE863,Lucknow,49.41.195.20,0,1,0,0,0
TXNEA9DCF8882,2025-10-29 07:21:24,lekhagoy@ibl,gopaldhi@oksbi,3419.33,QR,7,2,Google_Pixel_7,9BAD52B6096AD9,Nagpur,49.206.152.152,0,2,1,0,0
TXN0E7F6FECFD,2025-11-11 21:55:16,devanshb@ibl,chandres@okicici,8737.68,Recharge,21,1,Xiaomi_13,4E8B985E6B4621,Kanpur,49.248.73.197,0,4,1,0,0
TXN33738E9C71,2025-10-29 07:05:52,upmarai@okicici,balendra@ybl,747.26,P2P,7,2,OnePlus_11,24B4A74C9401A4,Chennai,49.144.67.202,0,1,0,0,0
TXN578A89F696,2025-10-25 11:34:20,ishitajo@upi,darikash@okicici,8269.95,Recharge,11,5,Xiaomi_13,F339572C86CC49,Surat,49.179.177.93,0,3,0,0,0
TXNF75A874F15,2025-12-25 04:41:26,xitiambl@upi,isaacsac@upi,4.46,Recharge,4,3,Emulator,E78BCE55240AA0,Foreign_City,Foreign_IP,1,22,2,0,1
TXNA508D11320,2026-03-15 00:59:11,mahikara@okaxis,xavierbi@oksbi,79866.08,Recharge,0,6,Unknown_Device,79C77569C6880E,Spoofed_Location,Foreign_IP,1,18,3,0,1
TXN88580B839F,2026-01-08 22:02:08,triptipa@paytm,ekapadya@okicici,2792.24,P2M,22,3,Realme_10,899D40AD6D49B6,Jaipur,49.52.108.178,0,4,0,0,0
TXNB9FC1C0A5C,2025-10-26 16:47:45,bakhshid@okaxis,shivanim@okaxis,4847.26,QR,16,6,Oppo_Reno8,10B4513506779A,Chennai,49.229.131.39,1,2,0,0,0
TXN35952B5B32,2025-10-14 08:19:50,samuelpa@upi,anikadha@oksbi,8016.88,Bill,8,1,Realme_10,89810E743304E4,Bangalore,49.118.1.169,0,2,0,0,0
TXN3CD53F12D3,2026-03-05 19:42:39,ekapadth@okicici,ubikamah@ybl,6971.41,QR,19,3,Realme_10,6DA08894E18900,Kolkata,49.246.127.88,0,3,1,0,0
TXNC1DA2A77C4,2025-10-31 16:42:28,gautamig@okaxis,victorba@ybl,4240.94,Recharge,16,4,Google_Pixel_7,B8579392F139D4,Delhi,49.181.110.241,0,2,0,0,0
TXNF7894FCF15,2025-11-28 17:11:19,aarushna@okaxis,adwetaed@ibl,5346.01,Recharge,17,4,iPhone_15,D13FC6C12FB0DD,Mumbai,49.142.75.179,0,4,0,0,0
TXN3F660AE012,2026-02-20 20:03:12,riashrof@oksbi,upkaarlu@okaxis,2306.31,P2P,20,4,Xiaomi_13,7CBCC2C1312139,Hyderabad,49.42.181.120,1,1,1,0,0
TXND311C510C4,2025-10-10 18:50:31,bhavnaka@oksbi,radhacha@ibl,9621.69,Recharge,18,4,Xiaomi_13,FFEDC566A703B5,Mumbai,49.77.146.155,0,3,0,0,0
TXN53CD39E96A,2025-12-24 22:55:42,bhavikan@okicici,yoshitac@paytm,6094.96,QR,22,2,iPhone_14,0AE98142D118CE,Pune,49.152.89.58,0,3,0,0,0
TXN299FE992C9,2026-03-03 10:37:18,nitaramu@ybl,odikaram@ibl,7452.91,Bill,10,1,OnePlus_11,461187CAC8E4E0,Kolkata,49.203.66.206,0,4,0,0,0
TXN685C842C0B,2026-01-05 16:23:51,anirudha@paytm,ekantika@upi,8872.12,P2P,16,0,Google_Pixel_7,431EA869DCAF07,Ahmedabad,49.89.195.159,0,2,0,0,0
TXN4302536A8D,2025-10-14 15:31:25,sanayash@okaxis,ayaankha@okicici,5680.04,Bill,15,1,iPhone_14,CA3F2BDE40568F,Kanpur,49.210.94.172,1,1,0,0,0
TXN4B6661748A,2025-11-12 19:25:26,dalajade@upi,onkarmad@okaxis,4670.28,P2P,19,2,iPhone_14,7595D40200B564,Kanpur,49.131.212.104,0,3,0,0,0
TXN671DB92327,2025-10-02 02:50:48,udyatisw@upi,chandran@upi,69231.47,Recharge,2,3,Unknown_Device,52634A51D8A4EA,Unknown_City,Unknown_IP,1,29,3,1,1
TXN215455B4E6,2026-02-04 14:18:05,rachitav@oksbi,urmiwadh@upi,1917.61,QR,14,2,Google_Pixel_7,E90B22DF841D0B,Lucknow,49.112.168.45,0,4,0,0,0
TXND37B2D3D82,2026-01-03 11:25:56,nakshber@ybl,garimajh@upi,8844.57,P2M,11,5,Vivo_V27,9DBA1252298741,Mumbai,49.237.143.166,0,1,1,0,0
TXN05F1DE4151,2025-11-06 04:07:36,diyakale@okicici,ryangrew@paytm,82185.91,Bill,4,3,Unknown_Device,D71B024E7B7548,Foreign_City,Foreign_IP,1,17,2,0,1
TXN65659D82EA,2026-02-19 04:14:43,ayushcha@ibl,chakrade@ibl,6.86,Bill,4,3,Unknown_Device,68E858D4BF4138,Spoofed_Location,Unknown_IP,1,18,2,1,1
TXNEEDF9AD960,2025-11-14 18:20:49,mahikajh@okaxis,darshboa@ibl,6482.12,Recharge,18,4,Oppo_Reno8,BC7717B048795A,Mumbai,49.80.161.86,1,1,1,0,0
TXNAB0068458A,2026-01-20 22:02:29,leenabha@ybl,ayushdug@paytm,4954.4,P2P,22,1,Motorola_Edge_40,712BA72377AA37,Hyderabad,49.73.108.67,0,2,1,0,0
TXN11B39FE03C,2025-11-23 12:06:17,etamohan@oksbi,alkabhal@oksbi,2762.1,Bill,12,6,Xiaomi_13,A3F3FD2FFB7185,Surat,49.120.225.195,0,2,0,0,0
TXNBE7E64210C,2025-11-04 20:26:53,falanbar@ybl,shravyas@okicici,4223.85,P2M,20,1,Oppo_Reno8,97BD744D8D46CA,Bhopal,49.108.210.128,0,2,0,0,0
TXNF7F2A1893D,2026-01-08 12:49:03,vanshaga@paytm,nachiket@oksbi,96.68,Bill,12,3,Realme_10,F4A57301A47BED,Jaipur,49.170.189.87,0,4,0,0,0
TXN68C093EAF3,2026-01-02 11:25:12,shravyak@okicici,tarachad@okaxis,498.63,Recharge,11,4,Samsung_Galaxy_S23,625AA82D4B1A1F,Bangalore,49.209.128.119,1,3,0,0,0
TXND8F1A0D17E,2025-11-29 04:15:39,kalamand@upi,jonathan@okaxis,6.9,Recharge,4,5,Rooted_Android,3EB75F7F818635,Unknown_City,Foreign_IP,1,17,4,0,1
TXN782F94A193,2025-12-29 21:51:20,shivansh@paytm,binabari@okicici,6201.97,QR,21,0,OnePlus_11,E1BAAAFDFF3584,Nagpur,49.253.139.164,0,2,0,0,0
TXN2055831321,2026-02-17 20:32:54,udantram@upi,girikpal@okicici,7903.17,Recharge,20,1,Vivo_V27,FA7F593DEB970D,Ahmedabad,49.213.21.170,0,1,0,0,0
TXN423F40D3B8,2025-11-17 04:38:49,ekanidut@okicici,tanmayik@okicici,83733.08,Recharge,4,0,Rooted_Android,959A8E2DA7BA2B,Spoofed_Location,Foreign_IP,1,19,3,0,1
TXN3EE3681519,2025-10-06 07:38:36,samarkal@ybl,nikitach@paytm,2922.84,P2M,7,0,OnePlus_11,FDD0D8465FC6C1,Bangalore,49.149.146.64,0,4,0,0,0
TXNABF3685C8C,2025-11-11 10:58:12,wakeetab@upi,hiralbob@paytm,9721.97,Recharge,10,1,Vivo_V27,921491D553E730,Hyderabad,49.45.212.228,0,3,0,0,0
TXNE9D150A308,2025-11-05 22:57:10,iryachha@oksbi,mitaligo@ibl,9467.35,Bill,22,2,Realme_10,B6F92BC90B4C82,Indore,49.146.168.84,0,1,0,0,0
TXN596300F009,2025-12-16 11:40:42,samuelsh@okaxis,yashsawh@okicici,1863.83,QR,11,1,OnePlus_11,1921AAEE02D319,Delhi,49.154.102.254,1,2,0,0,0
TXNA8C8F39A09,2026-03-13 13:44:14,ojaschow@ybl,danieldu@paytm,2139.25,Bill,13,4,Samsung_Galaxy_S23,FC0720F43D6FFC,Nagpur,49.190.97.53,1,2,0,0,0
TXN34C0791C7C,2026-02-12 23:03:59,timothyn@paytm,jagratip@ybl,3167.76,Recharge,23,3,Samsung_Galaxy_S23,958FBFAAEB0FEC,Nagpur,49.7.192.174,0,1,0,0,0
TXN18F6B53194,2026-03-10 15:09:50,ishitaka@okicici,yauvanim@paytm,4132.86,Recharge,15,1,Google_Pixel_7,AF1438A323DD2D,Nagpur,49.6.239.24,1,4,0,0,0
TXN4D6BA531C0,2026-01-23 06:57:31,noahben@oksbi,dalajaka@ibl,6406.95,P2P,6,4,iPhone_15,DA71ABC1B5FFBD,Hyderabad,49.39.180.85,1,1,0,0,0
TXNFA3F9EA376,2025-12-16 02:21:44,varenyac@okicici,jananika@ibl,117420.43,P2M,2,1,VM_Instance,E3786DFAEE5511,Unknown_City,Unknown_IP,1,19,4,0,1
TXNC3B6CE1433,2025-10-30 07:57:02,ishitade@paytm,balveers@okicici,2395.28,QR,7,3,iPhone_14,E9EEF6F81D659C,Hyderabad,49.58.226.159,1,4,0,0,0
TXN7EDA0CADC1,2025-12-28 02:03:48,oshapai@okicici,farisbal@okaxis,5.91,Recharge,2,6,Emulator,CE795780B41BAD,Unknown_City,VPN_IP,1,28,1,0,1
TXNDD2FC89A3D,2025-10-14 14:37:44,kevinnar@ybl,ayushsur@ybl,1498.16,Recharge,14,1,Oppo_Reno8,F942A1AF04B8BE,Ahmedabad,49.185.159.196,0,1,0,0,0
TXN7F8D2747F3,2026-02-18 19:30:41,chandani@okaxis,nicholas@okaxis,3964.38,Bill,19,2,Vivo_V27,8741C6FE6379AA,Indore,49.128.191.126,0,1,0,0,0
TXNCC617BCE47,2025-12-04 14:04:06,qarinkul@ibl,vedhikaa@okaxis,8005.82,P2M,14,3,Vivo_V27,EB1A4707FB0804,Jaipur,49.146.97.126,1,1,0,0,0
TXN3541A2E40E,2026-01-19 20:20:14,matthewd@upi,fariqgan@paytm,4099.2,QR,20,0,Realme_10,62B28999CFB25A,Delhi,49.80.249.88,0,2,0,0,0
TXNF5FD593811,2026-01-27 20:43:07,rohanbai@upi,adwetach@ybl,3828.39,QR,20,1,iPhone_14,E2153657F07BB9,Delhi,49.106.233.98,0,2,0,0,0
TXNDD163E29F1,2026-02-21 17:57:23,neelchau@ybl,yashodar@ibl,7176.09,Bill,17,5,iPhone_15,26391035EA6326,Ahmedabad,49.108.135.239,0,2,0,0,0
TXN2D52FE03A1,2026-01-06 09:21:59,ridhibat@oksbi,advikamu@okicici,4567.47,Recharge,9,1,Xiaomi_13,9F521A152F46C2,Surat,49.44.241.135,1,1,0,0,0
TXN9784C4CBB6,2025-10-06 20:18:25,bhavikab@upi,arunimas@okaxis,6905.81,P2P,20,0,Google_Pixel_7,D6AF248B00EF4C,Indore,49.106.87.78,0,4,0,0,0
TXN9731EC6D1E,2026-01-29 00:06:17,gaurikac@upi,gabrielb@paytm,151584.77,Bill,0,3,Unknown_Device,8432135EEB4365,Unknown_City,TOR_Exit_Node,1,27,3,0,1
TXNFF6957F33C,2025-11-01 07:48:41,dakshesh@okaxis,loganbal@ybl,2986.63,P2P,7,5,Realme_10,C189FA2A6C611E,Kolkata,49.252.61.207,0,3,0,0,0
TXNE6970E5FE2,2026-01-04 12:56:45,odikaupp@okicici,xavierat@paytm,9449.44,Recharge,12,6,iPhone_14,8BFA2A4AC02D52,Mumbai,49.147.102.208,0,2,0,0,0
TXN18D71D994B,2025-10-25 13:51:27,indalika@ybl,chakrade@upi,3180.03,P2P,13,5,Google_Pixel_7,7E914686EB0E49,Indore,49.39.179.222,0,3,1,0,0
TXN0CC9AE5DB5,2025-11-14 14:48:27,raaginij@oksbi,jonathan@ybl,4116.8,QR,14,4,Motorola_Edge_40,F6740EBF661231,Chennai,49.123.216.90,0,3,0,0,0
TXNFD3EA47695,2025-10-03 02:48:31,odikabis@ybl,vamakshi@upi,3.22,P2P,2,4,Rooted_Android,5293C29D059DBD,Spoofed_Location,Unknown_IP,1,26,0,1,1
TXN0B1BC7E4D1,2025-10-20 06:51:22,ridhidut@okicici,sachisan@upi,103.24,P2P,6,0,iPhone_14,1EDD0D8451C3DD,Kanpur,49.134.132.117,0,1,0,0,0
TXN56AD756630,2025-10-26 15:05:17,saumyamo@oksbi,nakulyoh@oksbi,4394.99,Bill,15,6,Google_Pixel_7,F34C8B7BB80D37,Kanpur,49.88.175.71,0,1,1,0,0
TXN5F6E2BB89D,2025-12-06 09:04:59,manyasax@ibl,benjamin@ibl,2613.94,P2P,9,5,Realme_10,C174CA4ECF3E90,Kolkata,49.165.70.253,1,4,0,0,0
TXNE462034651,2026-01-09 17:07:59,anvinair@paytm,chaitaly@oksbi,5926.35,QR,17,4,iPhone_15,CB100694175EA5,Surat,49.197.141.7,1,2,0,0,0
TXN625CF5F8E3,2025-10-08 07:59:34,warhikho@upi,advikray@okaxis,8073.98,Recharge,7,2,Oppo_Reno8,C324D13168B2CE,Delhi,49.90.175.47,0,1,0,0,0
TXNF950AC762A,2026-01-20 18:47:28,wriddhis@ybl,nakshaga@okicici,9737.5,Bill,18,1,Realme_10,7B72534557412D,Kolkata,49.237.205.133,0,1,0,0,0
TXN15DAAC27AF,2025-11-28 21:21:14,avigrove@ybl,ekarajra@okicici,6967.38,Bill,21,4,iPhone_15,85EDC8EAE4BD1D,Mumbai,49.119.142.90,0,3,1,0,0
TXND4B3B43427,2026-02-07 08:14:27,divyabab@okicici,maanasra@upi,3949.28,P2M,8,5,Motorola_Edge_40,DB5DA5CD484ACA,Delhi,49.122.147.191,0,4,0,0,0
TXN6C62754FFD,2026-02-05 18:46:20,aayushch@ybl,yaminiso@ybl,6022.11,P2M,18,3,iPhone_14,8E7D55B8BCAF72,Ahmedabad,49.144.153.74,0,1,0,0,0
TXN6F24ECFE2C,2026-02-18 19:30:05,leenakot@okaxis,gangacha@upi,166.56,P2P,19,2,Motorola_Edge_40,2594841AE7B2C4,Ahmedabad,49.120.200.4,0,2,0,0,0
TXNC31ED26527,2025-10-13 18:45:15,abhasach@ybl,qadimlal@okaxis,2272.58,Recharge,18,0,Xiaomi_13,7B480428224D12,Lucknow,49.91.227.227,0,3,0,0,0
TXNE9886B0C76,2026-01-10 10:23:42,aryabuch@upi,elijahna@okaxis,7069.55,Recharge,10,5,Xiaomi_13,619DEC430DAE35,Delhi,49.176.101.199,0,2,0,0,0
TXNA0E8E46379,2025-10-31 15:46:56,jasonmit@ibl,urvashib@paytm,2191.25,Bill,15,4,iPhone_14,15F974419E20D1,Hyderabad,49.118.121.186,1,3,0,0,0
TXN94F53BF7CC,2026-01-24 19:32:54,jagatpal@oksbi,chanakya@okaxis,5688.22,QR,19,5,Xiaomi_13,4196FFC39C9652,Delhi,49.43.40.79,1,4,0,0,0
TXN0CDDDDA76E,2025-12-30 07:50:27,eiravati@ibl,yashviba@upi,4960.7,P2P,7,1,Xiaomi_13,E3883B986D3381,Chennai,49.183.103.1,0,4,0,0,0
TXN3690907EAE,2025-10-24 16:16:07,chanchal@ybl,priyaahl@okaxis,364.98,Bill,16,4,Vivo_V27,2C856E12B83491,Pune,49.216.37.234,1,4,0,0,0
TXN3FC6759B14,2026-02-16 16:46:37,falgunib@ybl,aarnavso@okicici,7968.06,Recharge,16,0,iPhone_15,D5A9B1AFD739A9,Bangalore,49.129.33.78,0,1,0,0,0
TXN960A35D4AD,2026-01-25 14:53:24,ayushbum@ibl,alkakade@upi,4787.67,Bill,14,6,Vivo_V27,0A4FA21FC5665E,Delhi,49.34.179.186,0,2,0,0,0
TXN63E670259B,2026-03-15 15:48:18,neelmani@okicici,upasnapa@oksbi,859.55,P2M,15,6,Google_Pixel_7,77BA2B8436D835,Ahmedabad,49.74.126.134,0,2,0,0,0
TXND1F80CA9EA,2026-03-08 17:58:14,ekantago@okicici,abeerbha@upi,9199.97,Recharge,17,6,Vivo_V27,EF56238A1331B0,Surat,49.46.1.229,0,2,0,0,0
TXN6A1B649335,2026-02-18 06:44:20,nidraaga@okicici,georgera@ibl,178.48,QR,6,2,Xiaomi_13,64803C2E1BCAA8,Nagpur,49.234.188.194,0,1,0,0,0
TXNDA33457523,2025-10-24 22:24:08,pallavis@ibl,yadavipa@oksbi,4010.02,P2P,22,4,iPhone_15,C1083DD1367C59,Pune,49.48.211.191,0,4,0,0,0
TXNCCCC937ACC,2025-12-18 06:36:58,urishill@okaxis,ekiyabra@ibl,1549.79,P2P,6,3,Oppo_Reno8,1834FD1039F6CF,Kolkata,49.143.26.95,0,3,0,0,0
TXN227081B063,2026-01-27 10:16:29,jasonand@paytm,advaynar@oksbi,3749.87,Recharge,10,1,Motorola_Edge_40,3FAEBC603AE89C,Bangalore,49.249.24.129,0,3,0,0,0
TXNDA85891658,2026-02-23 07:37:33,anthonym@okaxis,lakshitm@ibl,809.02,P2M,7,0,iPhone_14,CB4AF8E9B40656,Bangalore,49.246.193.19,0,1,1,0,0
TXNDF0FD46B10,2026-01-11 20:15:15,zayanyad@ibl,rayaanbo@okicici,6764.82,P2M,20,6,Motorola_Edge_40,ECED20D9F33972,Mumbai,49.217.162.110,0,2,0,0,0
TXN74DE8FDB69,2025-12-09 01:29:22,advaithg@okaxis,siyatoor@ibl,62131.63,Bill,1,1,Unknown_Device,2742B337EF0B79,Unknown_City,TOR_Exit_Node,1,28,0,1,1
TXN0B33685716,2025-10-30 21:10:17,jacksett@okicici,tanvishe@ybl,7362.44,Recharge,21,3,OnePlus_11,9D243E02E37FAA,Jaipur,49.45.15.135,0,4,0,0,0
TXNBAB5CDC003,2025-11-02 13:04:40,yahvisam@okaxis,chaturab@okaxis,1597.65,Bill,13,6,Oppo_Reno8,6D0CF82820917C,Bangalore,49.138.84.43,0,4,0,0,0
TXNAFAB957096,2026-01-01 22:32:22,chakrade@ybl,nachiket@upi,9663.97,QR,22,3,Realme_10,131937D94991F5,Hyderabad,49.103.168.56,0,4,0,0,0
